"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Post Title","Slug","Permalink","Product URI","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","Shipping Class","Download File Name","Download File URL Path","Download Limit","Download Expiry","Download Type","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","External URL","Button Text","Purchase Note","Product Status","Enable Reviews","Sort Order","Post Author","Username","User Role"
"","","1680","sku_004","Half Seelve T-Shirt (Armani)","Half Seelve T-Shirt (Armani)","half-seelve-t-shirt-armani","http://unihawker.com/product/half-seelve-t-shirt-armani/","http://unihawker.com/product/half-seelve-t-shirt-armani/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-4.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1678","","Half Sleeve T-shirt (Armani)","Half Sleeve T-shirt (Armani)","half-sleeve-t-shirt-armani","http://unihawker.com/product/half-sleeve-t-shirt-armani/","http://unihawker.com/product/half-sleeve-t-shirt-armani/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-3.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1676","sku_002","Full Sleeve T-shirt (Armani)","Full Sleeve T-shirt (Armani)","full-sleeve-t-shirt-armani","http://unihawker.com/product/full-sleeve-t-shirt-armani/","http://unihawker.com/product/full-sleeve-t-shirt-armani/","<span style=""font-weight: 400;"">100% cotton; GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-2.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1673","sku_001","Half Sleeve T-shirt (Armani)","Half Sleeve T-shirt (Armani)","t-shirt-armani","http://unihawker.com/product/t-shirt-armani/","http://unihawker.com/product/t-shirt-armani/","<span style=""font-weight: 400;"">100% cotton, GSM 170+</span>","","08/04/2019","08/04/2019","Simple Product","Shop and search results","Yes","No","No","3.29","","","","","","","","","","","","Clothing","","http://unihawker.com/wp-content/uploads/2019/04/1-1.jpg",,"Taxable","","","","","-1","-1","Standard","yes","1000","In Stock","No","No","","","","","","Publish","Open","0","1","debashish","Administrator"
"","","1583","","Wallet Topup","Wallet Topup","wallet-topup","http://unihawker.com/product/wallet-topup/","http://unihawker.com/product/wallet-topup/","Auto generated product for wallet recharge please do not delete or update.","","27/12/2018","27/12/2018","Simple Product","Hidden","No","Yes","No","","","","","","","","","","","","","Uncategorized","","",,"Taxable","","","","","-1","-1","Standard","no","","In Stock","No","Yes","","","","","","Private","Closed","0","1","debashish","Administrator"
"1421","PT0003-2","1429","","Product Left-Sidebar &#8211; Indigo, Extra Large","Product Left-Sidebar - Indigo, Extra Large","silver-porto-headset-indigo-extra-large__trashed",,"http://unihawker.com/product/silver-porto-headset__trashed/?attribute_pa_color=indigo&attribute_pa_size=extra-large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","1","1","debashish","Administrator"
"1421","PT0003-2","1428","","Product Left-Sidebar &#8211; Red, Medium","Product Left-Sidebar - Red, Medium","silver-porto-headset-red-medium__trashed",,"http://unihawker.com/product/silver-porto-headset__trashed/?attribute_pa_color=red&attribute_pa_size=medium-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","3","1","debashish","Administrator"
"1369","PT0002","1427","","Porto Sports Shoes &#8211; Blue, Extra Large","Porto Sports Shoes - Blue, Extra Large","porto-sports-shoes-blue-extra-large__trashed",,"http://unihawker.com/product/porto-sports-shoes__trashed/?attribute_pa_color=blue&attribute_pa_size=extra-large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","0","1","debashish","Administrator"
"1369","PT0002","1426","","Porto Sports Shoes &#8211; Light-Blue, Extra Large","Porto Sports Shoes - Light-Blue, Extra Large","porto-sports-shoes-light-blue-extra-large__trashed",,"http://unihawker.com/product/porto-sports-shoes__trashed/?attribute_pa_color=light-blue&attribute_pa_size=extra-large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","0","1","debashish","Administrator"
"1421","PT0003-2","1425","","Product Left-Sidebar &#8211; Red, Large","Product Left-Sidebar - Red, Large","silver-porto-headset-red-large__trashed",,"http://unihawker.com/product/silver-porto-headset__trashed/?attribute_pa_color=red&attribute_pa_size=large-2","","","09/04/2018","08/04/2019","Variation","Shop and search results","No","No","No","49","","","","","","","","","","","","Uncategorized","","",,"Taxable","parent","","","","0","0","Standard","no","","In Stock","No","No","","","","","","Trash","Closed","6","1","debashish","Administrator"
